"Practice Name","Phone","Address","Owner Name","Language","Status","Last Contact","Notes","Assigned To","Owner Title","Vertical","Lead Score","Company LinkedIn","Owner LinkedIn","Owner Email Status","Founded Year"
"Florida Dental Care of Miller","(305) 596-0104","Miami, Florida","","Bilingual","new","","Score 7/10 | apollo:614ef10b0c85cf0001e44406","","","dental","7","http://www.linkedin.com/company/florida-dental-care-of-miller-usa","","","1988"
"Gables Sedation & Family Dentistry","(305) 760-9901","Miami, Florida","Jorge Mi**i","Bilingual","new","","Score 9/10 | apollo:54fca4fc7369647e5eb32c00","","Dentist-Owner","dental","9","http://www.linkedin.com/company/gables-sedation-&-family-dentistry","","unverified","2007"
"Conhex Dental","(405) 500-1550","Miami, Florida","Netanel A","Bilingual","new","","Score 9/10 | apollo:63f59e59be44f000012ef58f","","Chief Executive Officer","dental","9","http://www.linkedin.com/company/conhex-dental","","unverified","2008"
"Rizzo Dental Group","(407) 521-8765","Orlando, Florida","","Bilingual","new","","Score 7/10 | apollo:556d1d01736964126cdc9200","","","dental","7","http://www.linkedin.com/company/rizzo-dental-group","","","2002"
"Mary Gharagozloo DDS PLLC","(407) 648-3688","Orlando, Florida","","Bilingual","new","","Score 7/10 | apollo:57c4ce8ca6da986a07d141be","","","dental","7","http://www.linkedin.com/company/mary-gharagozloo-dds-pc","","",""
"Cerillo Family Dentistry","(813) 971-1688","Tampa, Florida","","Bilingual","new","","Score 7/10 | apollo:615fcdc09360f7000171f912","","","dental","7","http://www.linkedin.com/company/cerillo-family-dentistry","","","1993"
"Center for Dental Anesthesia","(407) 537-4080","Orlando, Florida","","Bilingual","new","","Score 7/10 | apollo:5569ee6473696425ee6cbe00","","","dental","7","","","","1985"
"Dentist In Network","(877) 727-7246","Florida","","English","new","","Score 8/10 | apollo:5c28575080f93e156ff1bb57","","","dental","8","http://www.linkedin.com/company/dentist-in-network","","","2017"
"East Orlando Dental","(407) 282-2101","Florida","","English","new","","Score 8/10 | apollo:55f8d465f3e5bb15ef005fca","","","dental","8","http://www.linkedin.com/company/east-orlando-dental","","","2011"
"TLC Dental","(954) 491-7100","Florida","","English","new","","Score 7/10 | apollo:54a1270869702db878960600","","","dental","7","http://www.linkedin.com/company/ultimate-smile","","","2002"
"Brickell Dental Care","(407) 989-9999","Florida","Agueda Pe**z","English","new","","Score 10/10 | apollo:604a3f9135beb20001c5a2dc","","Business Owner","dental","10","http://www.linkedin.com/company/brickell-dental-care","","unverified","2020"
"Academy of Laser Dentistry","(813) 444-1011","Florida","John Fi**d","English","new","","Score 9/10 | apollo:5d35a07aa3ae6104034b09c0","","President & Co-Founder","dental","9","http://www.linkedin.com/company/academyoflaserdentistry","","unverified","1993"
"Smile Builders Pediatric Dentistry","(813) 880-0100","Florida","","English","new","","Score 7/10 | apollo:5e5643c14e4bc20001006081","","","dental","7","http://www.linkedin.com/company/smile-builders-pediatric-dentistry","","","2007"
"IPD Dental Group USA","","Florida","","English","new","","Score 7/10 | apollo:67b40b636a38d10001aa6e52","","","dental","7","http://www.linkedin.com/company/ipddentalgroupusa","","",""
"All Smiles Pediatric Dentistry","(786) 673-5252","Florida","Rebecca Le**d","English","new","","Score 10/10 | apollo:5fcfc5ff06ef470131282a50","","Pediatric Dentist / Owner","dental","10","http://www.linkedin.com/company/miamiallsmiles","","unverified","2020"
"Normandy Dentistry","(904) 299-0828","Florida","","English","new","","Score 7/10 | apollo:5a9e402fa6da98d9a15e8034","","","dental","7","http://www.linkedin.com/company/normandy-dentistry","","",""
"United Dental Corporation","(305) 775-8656","Florida","","English","new","","Score 8/10 | apollo:613830f708923d000146ac59","","","dental","8","http://www.linkedin.com/company/united-dental-corp","","","2021"
"Florida Dental Convention","(850) 681-3629","Florida","","English","new","","Score 7/10 | apollo:6609964a23fdd3000788410c","","","dental","7","http://www.linkedin.com/company/florida-dental-convention","","","1983"
"ADI - American Dental Institute","(407) 683-9581","Florida","Gustavo Ca**s","English","new","","Score 9/10 | apollo:663723f066f42f0001486c07","","Co-Owner","dental","9","http://www.linkedin.com/company/american-dental-institute","","verified",""
"Biscayne Dental & Facial Aesthetics","(877) 838-2517","Florida","","English","new","","Score 7/10 | apollo:5cb863a8f65125dd7fbb2cdf","","","dental","7","http://www.linkedin.com/company/biscayne-dental-facial-aesthetics","","","1999"
"Pediatric Dental Centers of Florida","(305) 246-3800","Florida","","English","new","","Score 7/10 | apollo:67d8e6f875894b0001533089","","","dental","7","http://www.linkedin.com/company/pediatric-dental-centers-of-florida","","","2005"
"Academy of Microscope Enhanced Dentistry","(813) 444-1011","Florida","Donald Re**d","English","new","","Score 9/10 | apollo:556cf59f73696411e3626a00","","Founder at Academy","dental","9","http://www.linkedin.com/company/academy-of-microscope-enhanced-dentistry","","unverified","2002"
"Lakeside Dental Management","(904) 395-7772","Florida","Robert We**r","English","new","","Score 10/10 | apollo:5fc96d861662c10001636e04","","Partner & Co-Founder","dental","10","http://www.linkedin.com/company/lakeside-dental-management","","unverified","2020"
"DENTAL EVOLUTION","(305) 670-1151","Florida","Dental Ev**n","English","new","","Score 9/10 | apollo:54a126ac69702d979cbb0200","","Owner","dental","9","http://www.linkedin.com/company/dental-evolution","","unverified","2002"
"Camarlengo Dental Institute","(330) 400-0730","Florida","","English","new","","Score 8/10 | apollo:614eb69903ca260001db9753","","","dental","8","http://www.linkedin.com/company/camarlengo-dental-institute","","","2019"
"Viax Dental Technologies","(844) 842-9522","Florida","","English","new","","Score 7/10 | apollo:5e582e8005426d00014623a4","","","dental","7","http://www.linkedin.com/company/viax-dental-technologies","","",""
"Desai Dental","(407) 898-3471","Florida","","English","new","","Score 7/10 | apollo:6132fe6cfe69ca0001ac2e73","","","dental","7","http://www.linkedin.com/company/desai-dental","","",""
"Southpark Dental Group","(407) 248-0100","Florida","","English","new","","Score 7/10 | apollo:54a1d2bf7468694f8f433614","","","dental","7","http://www.linkedin.com/company/southpark-dental-group","","",""
"All Smiles General Dentistry Management Inc.","(305) 893-4801","Florida","","English","new","","Score 7/10 | apollo:5b83c962324d4416f035b08a","","","dental","7","http://www.linkedin.com/company/all-smiles-general-dentistry-inc","","",""
"Florida Smiles Dental,floridasmilesdental.com","","Florida","""Owner","English","new","","Score 9/10 | apollo:5a9df4f6a6da98d96d82bf72","","General & Cosmetic Dentist""","dental","9","Peter Sc**o","","unverified",""
"Cerec Center Digital Dentistry","(305) 328-9490","Florida","","English","new","","Score 7/10 | apollo:5a9e6546a6da98d97e7c4c60","","","dental","7","http://www.linkedin.com/company/cerec-center","","","2008"
"Ata Dental","(407) 857-6501","Florida","","English","new","","Score 8/10 | apollo:5f3f0e0f4c3a7500017bd1ca","","","dental","8","http://www.linkedin.com/company/ata-dental-design","","","2012"
"Clinica Cubells","(707) 937-5615","Florida","","English","new","","Score 7/10 | apollo:6555ee5734f5db0001d3ebc8","","","dental","7","http://www.linkedin.com/company/clinica-cubells","","","2009"
"Miami Dental Group - Kendall","(305) 547-8365","Florida","Danny Pe**a","English","new","","Score 9/10 | apollo:6133a118f2209e0001f22405","","President/ceo","dental","9","http://www.linkedin.com/company/miami-dental-group","","unverified",""
"""John Paul Gallardo, DDS, PA | Periodontics and Implant Dentistry""","(305) 447-1447","Florida","John Ga**o","English","new","","Score 9/10 | apollo:57c491e6a6da98162d73abab","","Owner","dental","9","http://www.linkedin.com/company/gallardo-&-lamas-periodontics-and-implant-dentistry","","verified","1994"
"Community Smiles Dental Clinic","","Florida","","English","new","","Score 7/10 | apollo:5e59cde6e159f60001b03aa5","","","dental","7","http://www.linkedin.com/company/community-smiles-dental-clinic","","","1946"
"Sand Lake Dental","(407) 355-0608","Florida","","English","new","","Score 7/10 | apollo:63f59b3e24f3370001e8fb6f","","","dental","7","http://www.linkedin.com/company/sand-lake-dental","","","2004"
"""Weninger Dentistry, PLLC""","(813) 872-7057","Florida","Scott We**r","English","new","","Score 9/10 | apollo:5569d7377369642585cfa200","","Dentist/Owner","dental","9","http://www.linkedin.com/company/weninger-dentistry-pllc","","verified",""
"NMG Practice Solutions","(866) 240-0664","Florida","","English","new","","Score 8/10 | apollo:5da31f3571bd2800018cd6d5","","","dental","8","http://www.linkedin.com/company/nmg-practice-solutions","","","2013"
"Dental Protection Group","(212) 813-6699","Florida","Adam Ma**r","English","new","","Score 10/10 | apollo:650dee672ee7e001804c687d","","Co-Founder","dental","10","http://www.linkedin.com/company/dental-protection-group","","verified","2023"
"ComuniCare","(210) 233-7000","Florida","Patricia Bo**s","English","new","","Score 10/10 | apollo:6464e572b618ea00d0d2455e","","Founder","dental","10","http://www.linkedin.com/company/comunicare-hub","","unverified","2023"
"DentaSpa Seminars","(877) 367-4550","Florida","","English","new","","Score 8/10 | apollo:5b15f135a6da98697bd1830f","","","dental","8","http://www.linkedin.com/company/dentaspa-seminars","","","2010"
"GreenEwe Dental by Dr. Yani","(954) 525-6010","Florida","","English","new","","Score 7/10 | apollo:61e7c9560f22df00f885c61c","","","dental","7","http://www.linkedin.com/company/greenewedental","","","2006"
"Dentist Profit Systems LLC","(855) 695-7476","Florida","","English","new","","Score 8/10 | apollo:55695ae073696425294e0f00","","","dental","8","http://www.linkedin.com/company/dentist-profit-systems-llc","","","2013"
"Dental Science Alliance","","Florida","","English","new","","Score 7/10 | apollo:672db4c8ee57d90001ba7ff1","","","dental","7","http://www.linkedin.com/company/dentalsciencealliance","","",""
"Dental Origin","","Florida","","English","new","","Score 8/10 | apollo:67f76435c1306900155ec92c","","","dental","8","http://www.linkedin.com/company/dentalorigin","","","2022"
"Eyetastic Services®","(303) 893-0552","Florida","Steven Gi**l","English","new","","Score 10/10 | apollo:627c094a49e70900a5ea3588","","Chief Executive Officer | Recruiter","dental","10","http://www.linkedin.com/company/eyetastic","","verified","2022"
"DG Dental","(954) 524-2300","Florida","","English","new","","Score 8/10 | apollo:66ee4203016d6a0001288748","","","dental","8","http://www.linkedin.com/company/dg-dental","","","2017"
"Aventura Dental Arts LLC","(305) 682-1414","Florida","","English","new","","Score 7/10 | apollo:54fca2ef7369647e8b661200","","","dental","7","http://www.linkedin.com/company/aventura-dental-arts-llc","","",""
"""TAMPA ADVANCED DENTAL SOLUTIONS - MAXILLOFACIAL PROSTHETICS, IMPLANT AND PROSTHODONTIC CENTER""","(813) 872-9313","Florida","","English","new","","Score 7/10 | apollo:5b83a846f874f77965cea054","","","dental","7","http://www.linkedin.com/company/tampa-advanced-dental-solutions","","","1996"
"URBN Dental Implants & Invisalign","(713) 322-8442","Texas","Benjamin Go**k","English","new","","Score 10/10 | apollo:65e4ef8551b81d0007229fb8","","Co-Founder","dental","10","http://www.linkedin.com/company/urbndental","","verified","2015"
"The Magic Dentist","(713) 497-5152","Texas","Nicki Ro**d","English","new","","Score 10/10 | apollo:65b552f99a4c1e000166c2de","","Founder of the Magic Dentist Charity","dental","10","http://www.linkedin.com/company/the-magic-dentist","","verified","2023"
"Cusp Dental App","(130) 051-7077","Texas","","English","new","","Score 8/10 | apollo:5e5706f694c49d0001688a26","","","dental","8","http://www.linkedin.com/company/cusp-dental-app","","","2019"
"The Dental Advantage","","Texas","","English","new","","Score 8/10 | apollo:604a9bd89597cf0001c743ec","","","dental","8","http://www.linkedin.com/company/dentaladvantages","","","2013"
"INTERNATIONAL ACADEMY OF BIOLOGICAL DENTISTRY & MEDICINE,iabdm.org,http://www.iabdm.org","Texas","1985","CEO","English","new","","Score 9/10 | apollo:5cb82ed480f93ee373abc732","","Clinical Trainer""","dental","9","""Associate Director","","unverified",""
"URBN Dental Implants & Invisalign | Midtown","(346) 815-9997","Texas","Benjamin Go**k","English","new","","Score 10/10 | apollo:5db025b6437da80001676e6c","","Co-Founder","dental","10","http://www.linkedin.com/company/urbn-dental-midtown","","verified","2017"
"URBN Dental Implants & Invisalign | Katy","","Texas","Benjamin Go**k","English","new","","Score 9/10 | apollo:652d3973a2bada00a3246608","","Co-Founder","dental","9","http://www.linkedin.com/company/urbn-dental-katy","","verified",""
"Zenith Dental IT","(877) 218-4393","Texas","","English","new","","Score 8/10 | apollo:5eb4c829906132008c4c1842","","","dental","8","http://www.linkedin.com/company/zenith-dental-it","","","2019"
"Dentist 101 of Houston","(713) 773-1300","Texas","","English","new","","Score 7/10 | apollo:617e59d4a3b33a008c9f3f86","","","dental","7","http://www.linkedin.com/company/dentist101houston","","",""
"Crystal Clear Dental","(210) 900-4400","Texas","Ali Ib**m","English","new","","Score 10/10 | apollo:67857650ece32b01b00f0eb6","","Owner","dental","10","http://www.linkedin.com/company/crystal-clear-dental","","unverified","2024"
"Grand Oaks Dentistry","(512) 291-1666","Texas","Dimple Sh**a","English","new","","Score 10/10 | apollo:5e55ea03cbdf4b00010a7f73","","Founder","dental","10","http://www.linkedin.com/company/grand-oaks-dentistry","","unverified","2014"
"Kevin J Potts DDS - Dallas Modern Restorative & Cosmetic Dentist","(214) 368-1121","Texas","","English","new","","Score 7/10 | apollo:57c4dc08a6da986ab10be4ed","","","dental","7","http://www.linkedin.com/company/kevin-j-potts-dds","","",""
"Lee Dental Centers","(210) 681-5555","Texas","Tonya Ch**l","English","new","","Score 9/10 | apollo:54a120f269702d86b6ff6402","","Co-owner & Practicing Dentist","dental","9","http://www.linkedin.com/company/lee-dental-centers","","verified","1982"
"URBN Dental Implants & Invisalign | CityCentre","","Texas","Benjamin Go**k","English","new","","Score 9/10 | apollo:68ec0a2d9ce0b0001567c4e9","","Co-Founder","dental","9","http://www.linkedin.com/company/urbn-dental-citycentre","","verified",""
"Dental Digest LLC","","Texas","Melissa Se**t","English","new","","Score 9/10 | apollo:604a0732d987990001de9bb5","","Founder of Dental Digest Institute","dental","9","http://www.linkedin.com/company/dental-digest","","unverified",""
"Mabrito Dental","(713) 528-0567","Texas","","English","new","","Score 7/10 | apollo:54a129e069702da2202ad001","","","dental","7","http://www.linkedin.com/company/mabrito-dental","","","1977"
"DEO Magazine","","Texas","","English","new","","Score 8/10 | apollo:61272e79fa182400a5353b6b","","","dental","8","http://www.linkedin.com/company/deomagazine","","","2013"
"Prosperity Dental Solutions","(817) 975-4576","Texas","Jennifer Pe**e","English","new","","Score 10/10 | apollo:60aefe7e5d74120001b75c00","","Owner/Lead Executive Coach","dental","10","http://www.linkedin.com/company/prosperity-dental-solutions","","verified","2017"
"Uptown Cosmetic & Implant Dentistry","(713) 960-1017","Texas","","English","new","","Score 8/10 | apollo:5e56cceab262520001b15aee","","","dental","8","http://www.linkedin.com/company/uptown-cosmetic-implant-dentistry","","","2010"
"Echeverri Dental Center","(713) 956-8767","Texas","","English","new","","Score 7/10 | apollo:54fca2bd7369640186b81100","","","dental","7","http://www.linkedin.com/company/echeverri-dental-center","","","1996"
"Crossroads Dental Clinic","(915) 833-3232","Texas","","English","new","","Score 7/10 | apollo:5db42936bbbee10001208b3e","","","dental","7","http://www.linkedin.com/company/crossroads-dental-clinic","","",""
"Wheatland Dental Care","(972) 227-6453","Texas","","English","new","","Score 7/10 | apollo:55f27d6bf3e5bb0b2d00503e","","","dental","7","http://www.linkedin.com/company/wheatland-dental-care","","","1995"
"Byte Dentistry","(713) 667-3275","Texas","","English","new","","Score 8/10 | apollo:5e57acb685593a0001d62d2a","","","dental","8","http://www.linkedin.com/company/bytedentistry","","","2018"
"Cowdin Cosmetic Dentistry","(972) 380-6223","Texas","","English","new","","Score 7/10 | apollo:60b324e13f4baa0001e4e23a","","","dental","7","http://www.linkedin.com/company/cowdin-cosmetic-dentistry","","",""
"Cosmetic Dental Associates","(210) 337-6453","Texas","","English","new","","Score 7/10 | apollo:56d8b189f3e5bb26db001e6a","","","dental","7","http://www.linkedin.com/company/cosmetic-dental-associates","","","1981"
"Naba Dental","(346) 571-7254","Texas","","English","new","","Score 8/10 | apollo:56d7d394f3e5bb589e000c79","","","dental","8","http://www.linkedin.com/company/naba-dental","","","2016"
"Omega Dental Specialists","(713) 322-7474","Texas","","English","new","","Score 8/10 | apollo:55f86d64f3e5bb658c0029c9","","","dental","8","http://www.linkedin.com/company/omega-dental-specialists","","","2015"
"Poindexter Dental Inc.","(713) 734-7611","Texas","","English","new","","Score 7/10 | apollo:54a2095574686938259a3307","","","dental","7","http://www.linkedin.com/company/poindexter-dental-inc-","","","1956"
"Trident Dental","(281) 975-4915","Texas","","English","new","","Score 7/10 | apollo:5f48d629acd2990001e119ea","","","dental","7","http://www.linkedin.com/company/trident-dental","","",""
"Austin Dentistry","(512) 600-3535","Texas","","English","new","","Score 7/10 | apollo:5e5830874ab14d000199d76c","","","dental","7","http://www.linkedin.com/company/austin-dentistry","","",""
"Thompson Dentistry","(512) 900-9697","Texas","","English","new","","Score 8/10 | apollo:54a13ca369702de5b35ef901","","","dental","8","http://www.linkedin.com/company/thompson-dentistry","","","2012"
"Lifeworks Dental","(713) 956-5433","Texas","","English","new","","Score 8/10 | apollo:54a1d1377468694f8f12a013","","","dental","8","http://www.linkedin.com/company/lifeworks-dental","","","2012"
"Avery Ranch Dental","(512) 246-7645","Texas","","English","new","","Score 7/10 | apollo:54a20af37468693a7e268907","","","dental","7","http://www.linkedin.com/company/avery-ranch-dental","","",""
"Edge Dental Houston","(281) 940-8940","Texas","Kristina Ga**a","English","new","","Score 10/10 | apollo:5e597a891a8a810001fee9dd","","Co-Founder","dental","10","http://www.linkedin.com/company/edge-dental-houston","","unverified","2015"
"""Village Family Dental - Dentist in Dallas, Duncanville""","(972) 780-1919","Texas","","English","new","","Score 7/10 | apollo:6409ca3c00478f0001489769","","","dental","7","http://www.linkedin.com/company/village-family-dental-dentist-in-dallas-duncanville","","",""
"Metroplex Implants & Family Dentistry","(972) 233-5447","Texas","","English","new","","Score 7/10 | apollo:59bb99b1a6da98249080bb77","","","dental","7","http://www.linkedin.com/company/metroplex-implants-&-family-dentistry","","",""
"Austin Children's Dentistry","(512) 682-5437","Texas","","English","new","","Score 7/10 | apollo:5e58cefac04a400001d1ffc1","","","dental","7","http://www.linkedin.com/company/austin-children-s-dentistry","","",""
"Hewitt Dental","(512) 873-8847","Texas","","English","new","","Score 7/10 | apollo:54a120f269702d9d7ee25002","","","dental","7","http://www.linkedin.com/company/hewitt-dental-inc-","","","1978"
"Soniva Dental Care","(180) 000-0700","Texas","","English","new","","Score 7/10 | apollo:65e00644bb644400011b6bd8","","","dental","7","http://www.linkedin.com/company/soniva-dental-care","","",""
"Dent-Well: Onsite Dental Solutions","(281) 210-8607","Texas","","English","new","","Score 8/10 | apollo:5d0a6981f65125b7b7642557","","","dental","8","http://www.linkedin.com/company/dent-well","","","2011"
"Dental Illusions","(281) 374-2291","Texas","George Sa**a","English","new","","Score 9/10 | apollo:5569f11973696425c0e8ba00","","Managing Partner/ Owner/ Dentist","dental","9","http://www.linkedin.com/company/dental-illusions","","unverified",""
"Hanna Dental Implant Center","(713) 332-9842","Texas","Wayne Br**n","English","new","","Score 10/10 | apollo:54fca46b7369647e41a52a00","","Owner","dental","10","http://www.linkedin.com/company/hanna-dental-implant-center","","verified","2014"
"Balcones Family Dental","(512) 331-9088","Texas","","English","new","","Score 7/10 | apollo:55ea5bc8f3e5bb1121001814","","","dental","7","http://www.linkedin.com/company/balcones-family-dental","","",""
"Ziva Dental","(888) 282-2590","Texas","","English","new","","Score 7/10 | apollo:614f01404b71f50001178a0a","","","dental","7","http://www.linkedin.com/company/zivadentaltx","","",""
"3CDental","(409) 330-4252","Texas","","English","new","","Score 8/10 | apollo:5b847a9a324d443eb50aef0f","","","dental","8","http://www.linkedin.com/company/3cdental","","","2012"
"""One Touch Dental Billing, LLC.""","(838) 259-4417","Texas","","English","new","","Score 8/10 | apollo:6756b62180fe5d02d18d68a6","","","dental","8","http://www.linkedin.com/company/one-touch-dental-services-llc","","","2024"
"Believe Dental","","Texas","","English","new","","Score 7/10 | apollo:62a224d08c077c008b12d565","","","dental","7","http://www.linkedin.com/company/believe-dental","","","1988"
"Children's Dentistry of North Dallas","(214) 378-8868","Texas","Lara Ho**y","English","new","","Score 9/10 | apollo:68f2174add4b92001da4a90b","","Owner & Pediatric Dentist","dental","9","http://www.linkedin.com/company/childrens-dentistry-of-north-dallas","","unverified",""
"San Antonio Christian Dental Clinic","(828) 216-3894","Texas","Gloria Ca**o","English","new","","Score 9/10 | apollo:54a1cfd57468694f8f132013","","Chief Executive Officer","dental","9","http://www.linkedin.com/company/san-antonio-christian-dental-clinic","","verified","1986"
"Yorktown Dental Spa","(713) 355-5555","Texas","","English","new","","Score 7/10 | apollo:54fca4977369647df5ba2800","","","dental","7","http://www.linkedin.com/company/yorktown-dental-spa","","",""
"Contour Balance Dental Laboratory","(800) 673-5648","Texas","","English","new","","Score 8/10 | apollo:64200833c593e40001782179","","","dental","8","http://www.linkedin.com/company/contour-balance-dental-laboratory","","","2018"
"Central Dentist,centraldentist.com","","Texas","""Owner","English","new","","Score 9/10 | apollo:5e57b1b5289546000159eee2","","Holistic Family Dentist""","dental","9","Jill Om**o","","verified",""
